"NUEVA ERA DEL BALLET";"";"Tel: (58) (241) 8677221";"Av. Valencia, C.C. Dinastia, PB, Local 03 Naguanagua - Edo. Carabobo Valencia, Venezuela";"Academias De Ballet"
"ESCUELA DE BALLET CLÁSICO GRAZYNA YEROPUNOV";"";"Tel: (58) (261) 7594241";"Indio Mara Maracaibo, Venezuela";"Academias De Ballet"
"ESCUELA SUPERIOR DE DANZA CRISTIANA GUTIÉRREZ";"";"Tel: (58) (241) 8252594";"Cuatro Avenidas De La Urb. Prebo Valencias Edo. Carabobo Valencia, Venezuela";"Academias De Ballet"
"DRENAJES Y ACUEDUCTOS C.A.";"";"Tel: (58) (212) 2568132";"Calle Lebrún, C.C. Lebrún, Locales 12 y 13, Petare - Caracas Caracas, Venezuela";"Accesorios Para Acueducto"
"EL MATRCAZO C.A.";"";"Tel: (58) (281) 2663904";"Calle Jurin Puerto de  la Cruz, Venezuela";"Accesorios Para La Industria Alimenticia"
"MEZERHANE MATERIALES, C.A.";"";"Tel: (58) (212) 2843553";"Avenida 3, Los Palos Grandes Caracas, Venezuela";"Accesorios Para Tuberías"
"CDM, C.A.";"";"Tel: (58) (212) 2430552";"Urb. La Urbina, Calle Envolvente, Sector Intermedio Parcela 1 Caracas, Venezuela";"Accesorios Para Tuberías"
"MOTUSA - MOTASA TUBERIAS S.A.";"";"Tel: (58) (212) 2387150";"Cl. Buen pastor, No. 9, Edf. Urbasa, Sótano Boleíta Norte, Caracas Caracas, Venezuela";"Accesorios Para Tuberías"
"FLEXILATINA DE VENEZUELA, C.A.";"";"Tel: (58) (212) 2574478";"Calle Chicago Centro Empresarial Sturgis Piso 3 Local 4, La Carolina Sur Caracas, Venezuela";"Accesorios Para Tuberías"
"PROCT PETROL C.A.";"";"Tel: (58) (282) 4254822";"Av. José Antonio Anzoátegui Sector las Charas Edif. Proct Petrol Anaco Anaco, Venezuela";"Accesorios Para Tuberías"
"HYDROTAL, C.A.";"";"Tel: (58) (212) 7932969";"Carr. A Montalbán, Sector Portachuelo, Bejuma, Edo. Carabobo Caracas, Venezuela";"Accesorios Para Tuberías"
"Pysta";"";"Cel.: (58) 3113856531";"Atiende en El Espinal desde su sede principal en Cali El Espinal, Venezuela";"Aceites Y Grasas"
"DISTRIBUIDORA DE LUBRICANTES Y FERRETERIA CAR©S & OIL R.L.";"";"Tel: (58) (286) 9942950";"Urb. El Caimito Av. Paseo Carini a 100mts Despues del Botalon de Abuelo Ciudad Guayana Puerto Ordaz, Venezuela";"Aceites Y Grasas"
"FABRICA DE ACEITE REFINADO DE COCO C.A.";"";"Tel: (58) (294) 3322912";"CI. Monogas Carúpano, Venezuela";"Aceites Y Grasas"
"OCEAN WORLD, C.A.";"";"Tel: (58) (212) 2326612";"Cl Mara Caracas, Venezuela";"Acuarios"
"KING©S AQUARIUM, C.A.";"";"Tel: (58) (212) 7625216";"Edif. Lourdes Pb Local E-2 Av Fco Solano. Sabana Grande Caracas, Venezuela";"Acuarios"
"SEAQUARIUM LA CHINITA, C.A.";"";"Tel: (58) (212) 7317356";"Av J.B. Arismendi Loc 9 Y 10 Caracas, Venezuela";"Acuarios"
"AVICUARIO LA GUINEA REAL, C.A.";"";"Tel: (58) (212) 8723347";"Cl Colombia, Catía Caracas, Venezuela";"Acuarios"
