"ACADEMIA DE ARTE Y DANZA BROADWAY";"";"Tel: (58) (243) 2472823";"Av. Bolívar, Centro Maracay, Venezuela";"Academias De Arte"
"ACADEMIA DE ARTES CULINARIAS DE CARACAS";"";"Tel: (58) (212) 7512226";"Cnas De Bello Monte - Caracas Caracas, Venezuela";"Academias De Arte"
"SUTRAGALVANO C.A";"";"Tel: (58) (212) 6318279";"El Cementerio Caracas, Venezuela";"Accesorios Galvanizados"
"ALF GALVANIZADOS C.A";"";"Tel: (58) (241) 8715751";"Cll. 102 Con Av. Intercomunal 73 Zona Ind Castillito Valencia, Venezuela";"Accesorios Galvanizados"
"AGRI - TECH C.A";"";"Tel: (58) (251) 2330187";"Cll. 26 E/ Cr. 25 Y Av. Venezuela Barquisimeto, Venezuela";"Accesorios Galvanizados"
"CINCACERO C.A";"";"Tel: (58) (212) 9510811";"Caracas Caracas, Venezuela";"Accesorios Galvanizados"
"Pysta";"";"Cel.: (58) 3113856531";"Atiende en El Espinal desde su sede principal en Cali El Espinal, Venezuela";"Aceites Industriales"
"PROMETALCA";"";"Tel: (58) (245) 5714404";"Carrt Nac Guacara-Los Guayos Sector Altamira Frente A La Urb Ind. El Nepe Guacara Guacará, Venezuela";"Aceros"
"ACEROS ELINOX C A";"";"Tel: (58) (212) 6314984";"Cementerio Caracas, Venezuela";"Aceros"
"TREFILCA. C.A.";"";"Tel: (58) (243) 2711585";"Zona Industrial El Piñonal Maracay, Venezuela";"Aceros"
"AMS C.A.";"";"Tel: (58) (212) 3443049";"Carr. Nac Guatire La Rosa El Desvio Caracas, Venezuela";"Aceros"
"FORJA CENTRO, C.A.";"";"Tel: (58) (258) 7664545";"Zona Ind. Tinaquillo Tinaquillo, Venezuela";"Aceros"
"AUSTINOX C A";"";"Tel: (58) (212) 2658449";"Pto. La Cruz Caracas, Venezuela";"Aceros"
"CONEXTEEL, C.A.";"";"Telefax: (58) (212) 2396629";"Av. Lecuna, Boleíta Caracas, Venezuela";"Aceros"
"PRODUCTOS DE ACERO LAMIGAL, C.A.";"";"Tel: (58) (241) 7009811";"Valencia Valencia, Venezuela";"Aceros"
"METAL ACERO ARAGUA, S.R.L.";"";"Tel: (58) (243) 5530616";"Calle Carabobo Maracay, Venezuela";"Aceros"
"MULTIACERO C.A.";"";"Tel: (58) (286) 9945913";"Zona Ind. Matanzas Ciudad Guayana Puerto Ordaz, Venezuela";"Aceros"
"STEELSUCA";"";"Tel: (58) (261) 7319183";"Km 6 1/2 Vía Perijá Maracaibo, Venezuela";"Aceros"
"SABIMET S.A.";"";"Telefax: (58) (212) 9785116";"Av Río Caura, Centro Empresarial Torre Humboldt, Planta Alta, Ofic.6, Prados Del Este Caracas, Venezuela";"Aceros"
"CAPROA";"";"Tel: (58) (243) 5710604";"Av Ppal Carretera Nacional Los Guayos Guacara Sector Las Garcitas No.103 Valencia Edo Carabobo Maracay, Venezuela";"Aceros"
"NORD INTERNATIONAL";"";"Tel: (58) (286) 9626362";"Av. Paeo Caroni,C.C.Naraya Mezz, Local Nro. L-81 Ciudad Guayana Puerto Ordaz, Venezuela";"Aceros"
"OXICORTE DE VENEZUELA, C.A.";"";"Tel: (58) (212) 8325382";"Zona Ind. Carabobo Caracas, Venezuela";"Aceros"
"INGEMERCA, C.A.";"";"Tel: (58) (286) 9945566";"Zona Ind Los Pinos Ciudad Guayana Puerto Ordaz, Venezuela";"Aceros"
"SUMINO, C.A.";"";"Telefax: (58) (212) 4715187";"Cl. Piedra Azul, Bella Vista, Caracas Caracas, Venezuela";"Aceros"
"MAPLOCA";"";"Tel: (58) (261) 7345380";"Cl. 146, Zona Ind. De Maraca Maracaibo, Venezuela";"Aceros"
"REP HENRI J CITROEN";"";"Tel: (58) (212) 2840224";"Los Palos Grandes Caracas, Venezuela";"Aceros"
"VENCRAFT";"";"Tel: (58) (274) 7058665";"Táchira Y Mérida Mérida, Venezuela";"Aceros"
"METAL CARONI C.A.";"";"Tel: (58) (286) 9316573";"Av. Guayana, San Felix Ciudad Guayana Puerto Ordaz, Venezuela";"Aceros"
"CARRIBEAN AGENCY & STEVEDORING, C.A.";"";"Tel: (58) (242) 3618789";"C.C. profesional Plaza, Local 29,M-29 La Sultana Puerto Cabello, Venezuela";"Agencias Navieras"
"POLOSERVICIS PUERTO CABELLO C.A.";"";"Tel: (58) (242) 3618939";"Calle Anzoategui C/C Heres No.5-26 Edf. La Maison Coloniale Puerto Cabello, Venezuela";"Agencias Navieras"
"MEDITERRANEAN SHIPPING COMPANY DE VENEZUELA C.A.";"";"Tel: (58) (212) 7616261";"Av Venezuela, Bello Monte Caracas, Venezuela";"Agencias Navieras"
"ALDEBARAN SHIPPING SERVICES, C.A.";"";"Tel: (58) (281) 2688313";"C.C El Paseo, Ps 1, Ofc.5 Puerto de  la Cruz, Venezuela";"Agencias Navieras"
"NAVES DE VENEZUELA, C.A.";"";"Tel: (58) (261) 7926697";"Av.2 El milagro con calle 86 Edif.Camara de Comercio Ps. 1-A Maracaibo, Venezuela";"Agencias Navieras"
"SCAT, C.A.";"";"Tel: (58) (295) 2741935";"Av. Juan B Arismendi Porlamar, Venezuela";"Agencias Navieras"
"GERENCIA NAVIERA BAEK & RIGAUD C.A";"";"Tel: (58) (212) 9820132";"Cl Valdez Caracas, Venezuela";"Agencias Navieras"
