"TORNISANCA";"";"Tel: (58) (274) 2632417";"Av. 16 de Septiembre Mérida, Venezuela";"Abrazaderas"
"COMERCIAL ELECTRODUREX, C.A.";"";"Tel: (58) (212) 4821713";"San Martín Caracas, Venezuela";"Abrazaderas"
"DISTOVEN";"";"Tel: (58) (261) 7872036";"Circunvalación II El Tránsito Maracaibo, Venezuela";"Abrazaderas"
"TU TORNILLOS JULIO C.A.";"";"Tel: (58) (271) 2213072";"Av. Bolívar, Sector La Plata, Edif. Tornillo Julio Valera, Venezuela";"Abrazaderas"
"GOMATORS, C.A.";"";"Tel: (58) (274) 2660383";"Av. L Américas Mérida, Venezuela";"Abrazaderas"
"TORNILLOS Y ABRAZADERAS DE OCCIDENTE CA";"";"Tel: (58) (251) 2668480";"San Francisco- BQTO Barquisimeto, Venezuela";"Abrazaderas"
"BRACE METALÚRGICA, C.A.";"";"Tel: (58) (212) 5320733";"Cl Petare Sta Lucía, El Limoncito Caracas, Venezuela";"Abrazaderas"
"REMECA REJILLAS Y METALES, C.A.";"";"Telefax: (58) (241) 8327008";"Av Este-Oeste 5 Z O Municipal Norte, Valencia Valencia, Venezuela";"Abrazaderas"
"SERVICIOS HIDRAÚLICOS, C.A.";"";"Tel: (58) (286) 9524961";"Urb.Río Yocoyma, Calle Ventuari, Unare I, Manzana D, N 3, Ciudad Guayana Puerto Ordaz, Venezuela";"Abrazaderas"
"HERRAMIENTA B & D VENEZUELA C.A.";"";"Tel: (58) (212) 2578774";"Cl. Las Tinajas, El Llanito Caracas, Venezuela";"Accesorios De Acero"
"VEMACERO, C.A.";"";"Tel: (58) (251) 2692487";"Cr. 2 E/Cl2 Y 4, Zona Industrial II Urbanizacion Sugerid Barquisimeto, Venezuela";"Accesorios De Acero"
"CABLE ACERO C.A";"";"Tel: (58) (261) 7355055";"Cl. 61, Los Robles Maracaibo, Venezuela";"Accesorios De Acero"
"GUAYAS ORIENTALES C.A.";"";"Tel: (58) (281) 2743869";"Av José Antonio Anzóategui C.C. Ra-Ra-Ra Local Nú 7 Frente A La Redoma De Los Pájaros, Barcelona, Edo. Anzóategui Barcelona, Venezuela";"Accesorios De Acero"
"REPRESENTACIONES FREN, C.A.";"";"Telefax: (58) (286) 9511166";"Cl Suata, Zona Ind Unare II, Puerto Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Accesorios De Acero"
"CAVEGUAYAS (C.A. VENEZOLANA DE GUAYAS)";"";"Tel: (58) (286) 9511834";"Cl Neverí, Unare II, Puerto Ordaz Ciudad Guayana Puerto Ordaz, Venezuela";"Accesorios De Acero"
