"ISABELLITA`S PRODUCCION";"";"Tel: (58) (212) 7638859";"Blvard Sabana Grande Caracas, Venezuela";"Academias"
"SEVILLANAS ACADEMIAS DE FLAMENCO";"";"Tel: (58) (212) 9854252";"Montalban I, Qta Naquico Av. Principal Del Cafetal Caracas, Venezuela";"Academias"
"LINA ACADEMIA";"";"Tel: (58) (271) 2258648";"Las Acacias Valera, Venezuela";"Academias"
"YENNY FASHION INSITUTE, C.A.";"";"Tel: (58) (212) 2634275";"Chacao Caracas, Venezuela";"Academias"
"INDALVEN";"";"Tel: (58) (212) 3440673";"Caracas Caracas, Venezuela";"Accesorios De Aluminio"
"ALREYVEN, C.A.";"";"Tel: (58) (243) 5536511";"Zona Industrial San Vicente I, Av Antón Philips, Apdo. 247, Edo. Aragua Maracay, Venezuela";"Accesorios De Aluminio"
"INALUM";"";"Tel: (58) (212) 2676367";"Av. 2 Edif. Tr Credival Piso 4, Local B. Urb.Campo Alegre Caracas, Venezuela";"Accesorios De Aluminio"
"ALUMINIO FLAMINGO, C.A.";"";"Tel: (58) (212) 3811637";"Av Intercomunal Galpón Aluminio Flamingo Guatire, Venezuela";"Accesorios De Aluminio"
"ALUMINIOS FIMA";"";"Tel: (58) (212) 3445840";"Guatire Guatire, Venezuela";"Accesorios De Aluminio"
"PERFOTÉCNICA 5050";"";"Tel: (58) (212) 6828098";"Caracas Caracas, Venezuela";"Accesorios Para Equipos De Bombeo"
"GENERI";"";"Tel: (58) (212) 9917247";"Cl. Orinoco, Las Mercedes Caracas, Venezuela";"Accesorios Para Radios Y Radiolas"
"Pysta";"";"Cel.: (58) 3113856531";"Atiende en El Espinal desde su sede principal en Cali El Espinal, Venezuela";"Aceites Comestibles"
"DUNAS DIVERSION EN GRANDE";"";"Tel: (58) (244) 8430028";"Av. Principal De Mañongo,Cera De Restaurante Villa Estruzca Y El Club Cam pestre La Victoria, Venezuela";"Actividades Ludicas"
"INSTALACIONES EN GENERAL ANTHONY 2900, C.A.";"";"Tel: (58) (212) 4340826";"Av. Ppal de Pipe Abajo, Caricuao Caracas, Venezuela";"Actividades Ludicas"
"PRODUCTOS ROLDAN";"";"Tel: (58) (212) 9535037";"Av.Alameda Quinta Morita El Rosal, Chacao Caracas, Venezuela";"Actividades Ludicas"
"BIMBOLANDIA C.A.";"";"Tel: (58) (212) 6939189";"Av.Los Proceres, Valle Abajo Caracas, Venezuela";"Actividades Ludicas"
"ORGANIZACION KAPPA C.A.";"";"Tel: (58) (212) 7532329";"Av Caroni, Bello Monte Caracas, Venezuela";"Administración Documental (Servicios)"
"AGENCIA PROPHOT";"";"Tel: (58) (281) 2821294";"Lecherias C.C. Ana,Loc.29 P.1. Lecherías, Venezuela";"Agencias"
"AGENCIA ROYAL";"";"Tel: (58) (251) 2318064";"Carreras 18 Y 19 Barquisimeto, Venezuela";"Agencias"
"AGENCIA DE FESTEJOS ALEGRIA";"";"Tel: (58) (251) 4333793";"Cl Alegría Barquisimeto, Venezuela";"Agencias"
"AGENCIA DE LOTERIAS MIS AMIGOS";"";"Tel: (58) (281) 2663905";"Local N. 42 Avenida Gulf ChuparÙn Puerto de  la Cruz, Venezuela";"Agencias"
