"UNIDAD EDUCATIVA SAN ONOFRE";"";"Tel: (58) (212) 8610993";"Los Frailes Caracas, Venezuela";"Abarrotes"
"COPIPLANO GUAYANA, C.A.";"";"Tel: (58) (286) 9222813";"C.C. San Vicente, Local 6-G. Detrás Bco Mercantil, Vía Venezuela Ciudad Guayana Puerto Ordaz, Venezuela";"Abarrotes"
"VASCABELLA IMPORTACIÓN, C.A.";"";"Tel: (58) (212) 2510757";"Av. Ppal, Palo Verde Caracas, Venezuela";"Accesorios Para Baño"
"QUALITY MAID, C.A.";"";"Tel: (58) (212) 2561604";"Av. Principal Macaracuay Multicentro Empresarial Caracas, Venezuela";"Accesorios Para Baño"
"DR BAÑO";"";"Tel: (58) (212) 2435991";"Comienzo Cl. 8, Edif. Lion P.B. Local 4, La Urbina, Caracas Caracas, Venezuela";"Accesorios Para Baño"
"COCINAS BELLA VISTA II";"";"Tel: (58) (241) 8244765";"Av Andres E. Blanco Valencia, Venezuela";"Accesorios Para Baño"
"HIDROMATERIALES";"";"Tel: (58) (212) 2341566";"Cl. El Carmen Con 3ra. Transversal - Edif. Hidromateriales Los Dos Camino s - Caracas 1071 - Venezuela Caracas, Venezuela";"Accesorios Para Baño"
"HIDROFLEX, C.A.";"";"Tel: (58) (244) 3889728";"Zona Ind Los Tanques Villa de Cura, Venezuela";"Accesorios Para Baño"
"MULTI-SPLACA, C.A.";"";"Tel: (58) (212) 3626653";"Guarenas Guarenas, Venezuela";"Accesorios Para Baño"
"INDUSTRIAS SOLO FIBRA, C.A.";"";"Tel: (58) (212) 5321086";"Caracas Caracas, Venezuela";"Accesorios Para Baño"
"SUPERBAÑOS";"";"Tel: (58) (212) 9922224";"Cl. New York, Las Mercedes Caracas, Venezuela";"Accesorios Para Baño"
"MATERIALES GUAYABAL, C.A.";"";"Tel: (58) (212) 2346102";"Boleíta Caracas, Venezuela";"Accesorios Para Baño"
"MODERNAGE";"";"Tel: (58) (212) 9935950";"Cl. California Entre Mucuchies Monterrey Qta. Italidea. Las Mercedes Caracas, Venezuela";"Accesorios Para Baño"
"SAUNAS YOSIKA, C.A.";"";"Tel: (58) (212) 9537065";"Av. Fco. Miranda, Cto Lido, El Rosal Caracas, Venezuela";"Accesorios Para Baño"
"DASIMERCA";"";"Tel: (58) (212) 7533333";"Av. Principal. Colinas De Bello Monte. Tienda Baños Inteligentes. Caracas Caracas, Venezuela";"Accesorios Para Baño"
"FETIPLOM-FERREPLOMERIA TIRRENO C.A.";"";"Tel: (58) (212) 3226068";"Av Bicentenario, Ramo Verde Caracas, Venezuela";"Accesorios Para Baño"
"ARREDO X - PRESS";"";"Tel: (58) (212) 9924476";"Cl. París Entre Trinidad Y Nueva York. Qta Sol. Loc. Nueva York, Las Merc edes Caracas, Venezuela";"Accesorios Para Baño"
"AUTO SILENCIADORES DURAN C.A.";"";"Tel: (58) (243) 5546787";"Av. Constitución Oeste Maracay, Venezuela";"Accesorios Para Vehículos"
"DISTRIBUIDORA DE RADIADORES EL ESTAÑO C.A.";"";"Tel: (58) (241) 8356754";"Av. Lisandro Alvarado Valencia, Venezuela";"Accesorios Para Vehículos"
"VENCAUCHOS, C.A.";"";"Tel: (58) (243) 2356956";"Cl. Los Cedros Maracay, Venezuela";"Accesorios Para Vehículos"
"Pysta";"";"Cel.: (58) 3113856531";"Atiende en El Espinal desde su sede principal en Cali El Espinal, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS Y ACCESORIOS RALLY-SPORT, C.A.";"";"Tel: (58) (212) 5528568";"Av Cajigal, San Bernardino, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS VALERY, C.A.";"";"Tel: (58) (212) 4517366";"El Paraíso, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"CENTRO CAUCHO G.B. GUARENAS, C.A.";"";"Tel: (58) (212) 3633296";"Al Ayacucho Con Av Intercomunal Guarenas - Guatire Guarenas, Venezuela";"Aditamentos Para Vehículos"
"AEROMETAL, C.A. / REJILLAS NACIONALES, C.A.";"";"Tel: (58) (212) 2562576";"Final Av. Tamanaco, Cl. La Tinaja, Edif. Isamal, Urb. El LLanito -Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"SUPER CAUCHOS LA PORTELA, C.A.";"";"Tel: (58) (212) 6931980";"Av Estadium, A Media Cuadra Del Centro Comercial Los Chaguaramos, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"ALARMAS RAFAEL UNO, C.A.";"";"Tel: (58) (285) 6328774";"Calle Siegart Plaza Ciudad Bolivar, Venezuela";"Aditamentos Para Vehículos"
"MAXFRIO CAGUA C.A";"";"Tel: (58) (244) 3964046";"Cl Independencia Norte No. 104 Frente Al Bancaribe, Cagua Cagua, Venezuela";"Aditamentos Para Vehículos"
"DISTRIBUIDORA CHACAO XXI, C.A.";"";"Telefax: (58) (212) 7935768";"Urb. Maripérez, Av. Trujillo Con 1ù Transversal (Paralelo Av. Principal De Maripérez), Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS Y ACCESORIOS JRC, C.A.";"";"Tel: (58) (212) 2355385";"Calle Las Palmas, Boleíta Sur, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS LOS CAOBOS, C.A.";"";"Tel: (58) (212) 7930249";"Av Río De Janeiro (Entre Avs. La Salle Y Las Palmas), Qta. Carmanía, Los Caobos, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"DISTRIBECA";"";"Telefax: (58) (291) 6437277";"Maturin Maturín, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS TOÑO EL AMABLE";"";"Tel: (58) (239) 2129863";"Zona Ind. Marín II, Valles Del Tuy Santa Teresa, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS SAN MARTÍN, C.A.";"";"Telefax: (58) (212) 4519623";"Av San Martín, San Martín, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"TIRE CENTER LA CASTELLANA, C.A.";"";"Tel: (58) (212) 2645091";"La Castellana, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"SERVI-AIRE FATO CAR";"";"Tel: (58) (255) 2512186";"Av. Simón Bolivar, Calle N³ 19, Barrio el Progreso Guanare, Edo.Portugues Acarigua, Venezuela";"Aditamentos Para Vehículos"
"AIREXPRESS C.A";"";"Telefax: (58) (243) 2465424";"Av Ayacucho Norte, Local 28-B, Maracay Maracay, Venezuela";"Aditamentos Para Vehículos"
"COROVEN S.A.";"";"Tel: (58) (243) 5516423";"Zona Industrial San Vicente II, Av A. Entre Calles F y G, Maracay - Edo. Aragua Maracay, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS DEL SUR";"";"Tel: (58) (212) 6616951";"Av Las Ciencias C/c Vargas, Edif. Cande Local B, Frente A La Panadería Opera, Los Chaguaramos, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"REFRIGERACIÓN EL TEIDE, C.A.";"";"Tel: (58) (295) 2742078";"Av.Ppal De Concejeros Cruce Con Calle, Charaima Porlamar Porlamar, Venezuela";"Aditamentos Para Vehículos"
"MULTISERVICIOS AUTOMOTRIZ ACCEL C.A";"";"Tel: (58) (241) 8593229";"Av Lara No. 88-54 San Blas Valencia, Venezuela";"Aditamentos Para Vehículos"
"INVERSIONES MMM C.A";"";"Tel: (58) (241) 8247864";"Av Andrés Eloy Blanco, Santa Cecilia Valencia, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS Y ACCESORIOS LAS DELICIAS, C.A.";"";"Tel: (58) (212) 7305745";"Cl García, La Campiña, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"CAUCHOS REMA C.A.";"";"Tel: (58) (239) 2312709";"Ct Nacional La Raiza, Los Dos Caminos, Santa Teresa Santa Teresa, Venezuela";"Aditamentos Para Vehículos"
"RACING RUEDAS";"";"Tel: (58) (212) 2858828";"Av Sucre Nú 38, Los Dos Caminos Entre 5ù Y 6ù Transversales, Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
"IMPORTACIONES PETER CAR, C.A.";"";"Tel: (58) (212) 3644855";"El Tambor, Los Teques Los Teques, Venezuela";"Aditamentos Para Vehículos"
"SERVICLIMA, S.R.L.";"";"Tel: (58) (255) 6643386";"Calle 29,E Av. 29 y 30 Acarigua, Venezuela";"Aditamentos Para Vehículos"
"REFRIGERACIÓN AUTOMOTRIZ INCA C.A";"";"Tel: (58) (244) 4174909";"Cl Mariño A 20 Mts De Maveca, Cagua Cagua, Venezuela";"Aditamentos Para Vehículos"
"AUTO ALARMAS LE CAR'S C.A";"";"Telefax: (58) (243) 2350308";"C.C Maracaya Maracay, Venezuela";"Aditamentos Para Vehículos"
"TEMPANO IMPORT, C.A.";"";"Tel: (58) (295) 2740789";"Cl.Las Flores Cruce Con Autop.Del Valle Porlamar, Venezuela";"Aditamentos Para Vehículos"
"ESCALONA RACING C.A.";"";"Tel: (58) (241) 8255925";"El Viñedo Valencia, Venezuela";"Aditamentos Para Vehículos"
"REENCAUCHADORA LA CAPITAL C.A.";"";"Tel: (58) (212) 8732740";"Avenida El Atlántico, Entre Sexta Y Séptima Av Catia (Media Cuadra Del Metro Pérez Bonalde), Caracas Caracas, Venezuela";"Aditamentos Para Vehículos"
